Index,Quotes,Sasha,Ameya add,Ameya minus,Chinmaya add,Chinmaya minus
16,1-19: Helga started at Left; moved to centrist and then closed at left,#NPCMentionedUnprompted #ChangedOpinion #Believable,#StandingGround,#Believable,#Expected,#StandingGround
17,"1-20: That the right leaning group, one of whose members was very certain about his opinion, did budge in their convictions ",#InfluenceIndividual #CertaintyConvinces #StandingGround #IdentifyingSimilarGroups #ChangedOpinion #Believable,,#ChangedOpinion #Believable,#Expected #ChangedOpinion,#StandingGround
30,2-14: No substantial agreement was reached; which is what you might expect from an argument where people's views start out very highly separated from each other.,#StandingGround #Polarization #CausalInference #Disagreement #Believable,,#Disagreement #Believable,#Expected,#StandingGround
43,3-7: They decided to change their rating to indicate the same,#ChangedOpinion #MiddleGround #Believable,#Expected,#Believable,#Expected,
44,3-8: Lashawna swaying slightly more conservative because she had a very convincing and large group and this would easily move her to similar opinion.,"#NPCMentionedUnprompted #InfluenceGroup #ChangedOpinion #CausalInference #Believable",,#CausalInference #Believable,#Expected #IdentifyingSimilarGroups,
47,3-12: Left-leaning participants seemed to become less certain about their views,"#UsedPoliticalAffiliationSteriotype #DecreasingCertainty #IdentifyingSimilarGroups #Believable",,#Believable,#Expected,
49,3-14: The unexpected move of Juan Vicic towards the Left and Patrice's position feels like the kind of strange turn that might happen in a real conversation - in a large enough conversation you will see some people's opinions change.,"#NPCMentionedUnprompted #InfluenceIndividual #Expected #Unexpected #ChangedOpinion #Believable",,#Believable,,
57,4-1: No change by the left,#StandingGround #UsedPoliticalAffiliationSteriotype #IdentifyingSimilarGroups #Believable,,#UsedPoliticalAffiliationSteriotype #IdentifyingSimilarGroups #Believable,#Expected,
62,4-7: Lyman did not change their mind.William Mahaffey-Cochran was swayed by Amy Welsh's argument,"#NPCMentionedUnprompted #StandingGround #InfluenceIndividual #ChangedOpinion #Believable",,#Believable,#Expected,
66,4-12: Edward and Norma didn't change their views at all; and became very certain pretty quickly,#NPCMentionedUnprompted #IncreasingCertainty #StandingGround #Believable,,#Believable,#Expected,
68,4-14: I have no idea.....................................,#NotEnoughInfo,#NoAnswer #NotBelievable,,#NoAnswer #NotEnoughInfo,
72,4-18: Amy was swayed by William,#NPCMentionedUnprompted #InfluenceIndividual #ChangedOpinion #Believable,,#Believable,#Expected,
97,2-4: James (someone who was extreme left) was swayed by article,#NPCMentionedUnprompted #InfluenceArticle #NotBelievable,,#NotBelievable,#NotBelievable,
100,2-8: I find it believable.,#Believable,,#Believable,#Expected,
105,2-14: Nothing in particular.,#Believable,,#Believable,#Expected,
109,2-18: not much to not anticipate,#Believable #Expected,,#Believable,,
128,3-18: the extreme left/right fluctuating opinions,#UsedPoliticalAffiliationSteriotype #ChangedOpinion #NotBelievable,,#NotBelievable,,
139,4-9: Kenneth's certainty dropping but his position moving rightward but not forming a consensus with anyone.,#NPCMentionedUnprompted #DecreasingCertainty #Disagreement #ChangedOpinion #NotBelievable,#Polarization,#ChangedOpinion #NotBelievable,#Unexpected,
140,4-11: Kenneth change in opinion,"#NPCMentionedUnprompted #ChangedOpinion #Unexpected #NotBelievable",,#NotBelievable,,
164,1-16: no information is available for me to answer that question,#NotEnoughInfo,,,#NoAnswer,
167,1-19: She was the only one moderately left,#LackingSupport,,,,
169,1-21: Since they moved considerably towards the center; while they started fully left. Changing one's political identity on an issue isn't an easy task and can result in  much internal conflict and therefore high uncertainty.,"#DecreasingCertainty #PoliticalIdentity #EmotionalResponse #InferFactsFrom #ChangedOpinion",,#ChangedOpinion,#ChangedOpinion,#EmotionalResponse
197,2-9: The other two participants were closer together; so he tried to form consensus in the middle; further from his certain attitude.,"#MiddleGround #InfluenceIndividual #OpinionAttitudeDifference #DecreasingCertainty #CausalInference",,#DecreasingCertainty #CausalInference,,
198,2-11: He is doubting his far--left opinions/thoughts,#InferFactsFrom #DecreasingCertainty,,#InferFactsFrom,#OvertonWindow,
216,3-9: As his uncertainty dropped his opinion and attitude came into alignment,#OpinionAttitudeDifference #IncreasingCertainty #OpinionAttitudeAllignment,,,,
225,3-19: He might be left but shows his opinion as centrist,#OpinionAttitudeDifference,,,,
246,4-20: Opposition had convincing arguments or tendency to want to agree with the majority,#InfluenceGroup #ChangedOpinion,#AgreeWithMajority,,,
248,1-5: Deliberation within a group is important and with the right convincing you can change someones mind,#InfluenceGroup #Believable,#CausalInference,,#InferFactsFrom,
250,1-9: Centrist media helps solidify the most vocal/confident(low uncertainty) viewpoint instead of swaying opinion towards the article's viewpoint.,#CertaintyConvinces #ReinforcedViews #UsedPoliticalAffiliationSteriotype #MoreCertainLessChange #CausalInference,#CausalInference #LackingSupport,,,
251,1-11: Uncertainty of left and centrist participants increased; which in my opinion indicates they are open to discussion and change their mind,"#DecreasingCertainty #UncertainMindsChange #InferFactsFrom #UsedPoliticalAffiliationSteriotype",#CausalInference,#UsedPoliticalAffiliationSteriotype,,
253,"1-14: It's very hard to form a narrative from the raw; dry statistics presented here; and consequently extremely hard to judge whether it feels ""realistic"". I don't have a good knowledge of what kinds of statistical changes in arguments are common; and I suspect most people don't either. I do have a sense of whether a particular story seems plausible; and I think that in judging whether this simulation is realistic what I and most people will tend to do is make up a story about what's happening; and then substitute the question ""is this story plausible"" for ""is this simulation realistic"". But these aren't the same question at all. For example; different people may come up with entirely different stories; some of which they will find plausible; others implausible. I considered the drastic variation in uncertainty by Helga implausible; for example; but a convincing narrative could probably make it seem plausible to me! So I worry about the potential for ""just so story"" syndrome here - for making up a story that fits what you want to believe about the nature of human conversations.",#NotEnoughInfo #NPCMentionedUnmprompted #Meta,#Infer #InferFactsFrom,,#NPCMentionedUnmprompted #Meta,
255,1-16: this is impossibly vague -- the information given tells me nothing about what happened during the conversations,#NotEnoughInfo,,,,
259,3-9: reducing uncertainty increases bloc formation and persuasive arguments can reduce uncertainty,#Influence #IncreasingCertainty #SimilarViewsConverge,,,,#SimilarViewsConverge
263,4-9: two similar people with similar conviction are harder to dislodge than a single person with similar uncertainty,#SimilarViewsConverge #UncertainMindsChange #ReceivingSupport #GroupsStandGround,#DecreasingCertainty,,#GroupsStandGround,#UncertainMindsChange
