Index,Quotes,Codebook #1
1,1-1: The consistency with which the Right Opined people stuck to their stand,#StandingGround #Believable #Expected #UsedPoliticalAffiliationStereotype #GroupsStandGround
2,1-2: Ada was swayed to the right.,#InfluenceGroup #NPCMentionedUnprompted
3,1-3: Johnnie's stand,#NPCMentionedUnprompted
4,1-4: People grouping up when views were similar; but not the same,#InfluenceGroup #IdentifyingSimilarGroups #ReceivingSupport #ClusteringBelievable
5,1-5: Johnnie  leaning left,#NPCMentionedUnprompted #ChangedOpinion
6,1-7: After an internal debate Helqa Bass realized that the strength of the qroup's convictions was too weak Helga Bass did not change their mind,#StandingGround #NPCMentionedUnprompted #Disagreement #Believable #Expected
7,1-8: No drastic changes in views but groups did come closer to same opinion on both sides.,#MiddleGround #InfluenceGroup #SimilarViewsConverge #Believable #Expected 
8,1-9: That over time and rounds of arguments consensus develops around two poles of thought; even though within the poles there's a range of opinion/degree of certainty.,#Polarization #SimilarViewsConverge #Believable #Expected #IdentifyingSimilarGroups #ClusteringBelievable
9,1-11: No one changed their mind,#StandingGround #Believable #Expected
10,1-12: Right leaning viewpoints stayed right,#StandingGround #UsedPoliticalAffiliationStereotype #IdentifyingSimilarGroups #Believable #Expected
11,1-14: The way that people's opinions tended to move towards the opinions of those who had similar opinions; causing clusters to slowly emerge.,#InfluenceGroup #Polarization #SimilarViewsConverge #Believable #Expected #ClusteringBelievable
12,1-15: The participants tended to cluster away from centrism.,#Polarization #Expected #Believable
13,1-16: that there are two groups formed by the two left-of-center people and the two right-of-center people,#Polarization #ClusteringBelievable #Expected #Believable
14,1-17: People changing their opinions.,#Influence #Believable #Expected #ChangedOpinions
15,1-18: Helga,#NPCMentionedUnprompted #ChangedOpinion #Believable #Expected
16,1-19: Helga started at Left; moved to centrist and then closed at left,#NPCMentionedUnprompted #ChangedOpinion
17,"1-20: That the right leaning group, one of whose members was very certain about his opinion, did budge in their convictions ",#InfluenceIndividual #CertaintyConvinces #StandingGround #IdentifyingSimilarGroups #ChangedOpinion 
18,1-21: Ada and Johnnie matching their views,#MiddleGround #NPCMentionedUnprompted #SimilarViewsConverge #Believable #Expected
19,2-1: the little change in Mary's stance,#StandingGround #NPCMentionedUnprompted #Believable #Expected
20,2-2: Mary was swayed by Shirley,#Believable #Expected #NPCMentionedUnprompted #MiddleGround #InfluenceIndividual
21,2-3: Shirly's stand [was the most believable],#NPCMentionedUnprompted #StandingGround #CertaintyConvinces #Believable #Expected
22,2-4: The 3 people could not reconcile views,#LackingSupport #Disagreement #Believable #Expected
23,2-6: The specific measures are very practical,#Meta
24,2-7:  They tried to reconcile the difference,#MiddleGround
